"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.020034,0.0049688,0.0069805,0.024192,-5.3675e-05,-4.3552e-05,-0.00027283,9.124e-05,-0.00011714,0.048443,-0.014597,-0.01457,-0.0014187,0.00047445,-0.00060914,0,0,0,0.024196,4.4672e-05,-0.0001461,0.012171,0.0080317,0.024248,7.325e-07,0.4,0.15,0
0.022465,0.0050541,0.0071079,0.024363,-0.00010755,-4.0705e-05,-0.00036365,5.3552e-05,-0.00012819,0.048815,-0.014809,-0.014635,-0.001891,0.00027847,-0.0006666,0,0,0,0.024369,-6.9481e-06,-0.00014762,0.012259,0.0080716,0.024447,7.5071e-07,0.45,0.15,0
0.024916,0.0050986,0.0071944,0.024566,-0.00014047,-3.611e-05,-0.00037941,1.7889e-05,-0.00012445,0.049239,-0.014999,-0.014728,-0.0019729,9.3022e-05,-0.00064715,0,0,0,0.024573,-2.7787e-05,-0.00015544,0.012364,0.00813,0.024665,7.7089e-07,0.5,0.15,0
0.027389,0.0051214,0.0072551,0.024767,-0.00015822,-3.1276e-05,-0.00033699,-1.1474e-05,-0.0001095,0.049649,-0.015158,-0.014828,-0.0017524,-5.9666e-05,-0.00056938,0,0,0,0.024773,-2.6893e-05,-0.00016787,0.01247,0.0081927,0.02487,7.9023e-07,0.55,0.15,0
0.029881,0.0051373,0.007302,0.02494,-0.00016249,-2.687e-05,-0.00025506,-3.0639e-05,-8.6995e-05,0.049993,-0.015273,-0.01492,-0.0013263,-0.00015932,-0.00045237,0,0,0,0.024943,-1.805e-05,-0.00017448,0.012559,0.0082501,0.025039,8.0635e-07,0.6,0.15,0
0.032388,0.0051564,0.0073436,0.025066,-0.00015417,-2.3187e-05,-0.00015429,-3.731e-05,-6.1209e-05,0.050239,-0.015334,-0.014994,-0.00080231,-0.00019401,-0.00031829,0,0,0,0.025067,-1.1547e-05,-0.00016717,0.012617,0.0082963,0.025157,8.1773e-07,0.65,0.15,0
0.034905,0.0051836,0.0073844,0.025142,-0.00013534,-2.0468e-05,-5.5168e-05,-3.1698e-05,-3.6489e-05,0.050377,-0.015343,-0.015045,-0.00028688,-0.00016483,-0.00018974,0,0,0,0.025142,-1.088e-05,-0.0001453,0.012644,0.0083286,0.02522,8.2388e-07,0.7,0.15,0
0.037426,0.0052195,0.0074258,0.025171,-0.00010979,-1.8966e-05,2.5234e-05,-1.6527e-05,-1.6332e-05,0.050418,-0.01531,-0.015074,0.00013122,-8.5941e-05,-8.4928e-05,0,0,0,0.025171,-1.4264e-05,-0.00011465,0.012643,0.0083472,0.025235,8.2536e-07,0.75,0.15,0
0.039946,0.0052605,0.0074662,0.025165,-8.2299e-05,-1.8796e-05,7.6053e-05,3.8485e-06,-2.6384e-06,0.050391,-0.015252,-0.015087,0.00039548,2.0012e-05,-1.3719e-05,0,0,0,0.025165,-1.4182e-05,-8.7209e-05,0.012626,0.0083547,0.025216,8.235e-07,0.8,0.15,0
0.042465,0.0053014,0.0075026,0.025141,-5.7329e-05,-1.9745e-05,9.3726e-05,2.475e-05,4.4353e-06,0.050327,-0.015187,-0.015089,0.00048738,0.0001287,2.3064e-05,0,0,0,0.025141,-3.1984e-06,-7.4264e-05,0.012608,0.0083545,0.02518,8.1993e-07,0.85,0.15,0
