"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.00097627,-0.00014404,0.0072768,0.0028614,0.0030414,-0.00030951,0,0,0.049553,-0.0021067,0,-0.0072426,0,0,0,0.0072984,0.0028398,0.0030414,-3.9904,0.0043932,0.0043612,4.2297e-09,0.02,0.5,0
0.0019821,-0.00026452,0.0073648,0.002654,0.0030056,-0.00029527,0,0,0.051002,-0.0041144,0,-0.0069094,0,0,0,0.0073832,0.0026355,0.0030056,-3.5726,0.0043415,0.0045739,4.8061e-09,0.04,0.5,0
0.0030164,-0.00036574,0.0074498,0.0024579,0.0029723,-0.00029349,0,0,0.052387,-0.0060189,0,-0.0068676,0,0,0,0.007467,0.0024407,0.0029723,-3.3531,0.0042933,0.0047827,5.3855e-09,0.06,0.5,0
0.0040776,-0.00045111,0.0075316,0.0022736,0.0029415,-0.00030231,0,0,0.053703,-0.0078149,0,-0.007074,0,0,0,0.0075489,0.0022563,0.0029415,-3.2799,0.0042489,0.0049854,5.9606e-09,0.08,0.5,0
0.0051645,-0.00052335,0.007573,0.0020737,0.002894,-0.00032308,0,0,0.054745,-0.009598,0,-0.00756,0,0,0,0.007592,0.0020548,0.002894,-3.3507,0.0041802,0.0051689,6.4671e-09,0.1,0.5,0
0.0062754,-0.00058452,0.0077037,0.0019374,0.0028923,-0.00034167,0,0,0.056293,-0.011173,0,-0.0079951,0,0,0,0.0077239,0.0019172,0.0028923,-3.3792,0.0041778,0.0053857,7.1448e-09,0.12,0.5,0
0.0074087,-0.00063614,0.0077522,0.0017983,0.0028652,-0.00037971,0,0,0.057179,-0.012482,0,-0.0088853,0,0,0,0.0077764,0.0017742,0.0028652,-3.6344,0.0041386,0.0055379,7.5942e-09,0.14,0.5,0
0.0085626,-0.00067915,0.0078156,0.0016683,0.0028452,-0.00041947,0,0,0.058154,-0.013769,0,-0.0098155,0,0,0,0.0078441,0.0016398,0.0028452,-3.8857,0.0041097,0.005698,8.0868e-09,0.16,0.5,0
0.0097349,-0.00071395,0.0078725,0.001554,0.002828,-0.00046499,0,0,0.059021,-0.014905,0,-0.010881,0,0,0,0.0079065,0.00152,0.002828,-4.1864,0.0040848,0.0058434,8.5422e-09,0.18,0.5,0
0.010923,-0.00074031,0.007922,0.0014562,0.0028135,-0.00051557,0,0,0.05977,-0.01588,0,-0.012064,0,0,0,0.0079629,0.0014153,0.0028135,-4.5304,0.0040639,0.0059725,8.9533e-09,0.2,0.5,0
0.012126,-0.00075733,0.0079631,0.0013756,0.0028016,-0.00057038,0,0,0.060389,-0.016684,0,-0.013347,0,0,0,0.0080121,0.0013265,0.0028016,-4.9122,0.0040467,0.0060837,9.3124e-09,0.22,0.5,0
0.013339,-0.00076326,0.0079942,0.0013127,0.0027921,-0.00062838,0,0,0.060865,-0.017308,0,-0.014704,0,0,0,0.0080527,0.0012542,0.0027921,-5.3264,0.004033,0.006175,9.611e-09,0.24,0.5,0
0.01456,-0.00075532,0.0080136,0.0012679,0.0027844,-0.00068818,0,0,0.061181,-0.017744,0,-0.016103,0,0,0,0.0080831,0.0011984,0.0027844,-5.766,0.004022,0.0062446,9.8393e-09,0.26,0.5,0
0.015786,-0.00072942,0.0080191,0.0012405,0.0027779,-0.00074779,0,0,0.061322,-0.017987,0,-0.017498,0,0,0,0.0081006,0.001159,0.0027779,-6.221,0.0040125,0.0062904,9.9858e-09,0.28,0.5,0
0.017013,-0.00067971,0.0080285,0.0012708,0.0027898,-0.00081302,0,0,0.061293,-0.017772,0,-0.019025,0,0,0,0.0081249,0.0011744,0.0027898,-6.7647,0.0040297,0.0063001,1.0053e-08,0.3,0.5,0
0.018237,-0.00059799,0.0079825,0.0012681,0.0027752,-0.00083203,0,0,0.060926,-0.017633,0,-0.01947,0,0,0,0.0080841,0.0011665,0.0027752,-6.9596,0.0040086,0.00627,9.9057e-09,0.32,0.5,0
0.019453,-0.00047263,0.0079154,0.0012375,0.0027459,-0.0008851,0,0,0.060484,-0.017648,0,-0.020711,0,0,0,0.0080307,0.0011222,0.0027459,-7.4233,0.0039662,0.0062568,9.7814e-09,0.34,0.5,0
0.020656,-0.00028718,0.0078336,0.0012363,0.002721,-0.00088672,0,0,0.059818,-0.01737,0,-0.020749,0,0,0,0.0079507,0.0011192,0.002721,-7.5231,0.0039303,0.0061881,9.4764e-09,0.36,0.5,0
0.021846,-1.8185e-05,0.0077633,0.0011929,0.0026869,-0.00084856,0,0,0.059394,-0.017479,0,-0.019856,0,0,0,0.0078711,0.0010851,0.0026869,-7.2415,0.003881,0.0061437,9.2369e-09,0.38,0.5,0
0.023032,0.0003507,0.0076722,0.00095801,0.0025891,-0.00078098,0,0,0.059473,-0.019083,0,-0.018275,0,0,0,0.0077618,0.00086837,0.0025891,-6.548,0.0037398,0.0062144,9.2143e-09,0.4,0.5,0
0.024224,0.00082878,0.0076806,0.00059179,0.0024817,-0.00080481,0,0,0.060827,-0.022112,0,-0.018832,0,0,0,0.0077708,0.00050157,0.0024817,-6.3965,0.0035847,0.0065091,9.8702e-09,0.42,0.5,0
0.025465,0.001359,0.0074556,-0.00010752,0.0022044,-0.00085508,0,0,0.061439,-0.02705,0,-0.020009,0,0,0,0.0075511,-0.00020299,0.0022044,-6.3707,0.0031842,0.0068741,1.0048e-08,0.44,0.5,0
