"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.17475,0.0079564,0.30131,-1.032,-0.43467,-0.74132,-0.00095211,0,0,-0.37792,0.39864,0,-0.0024755,0,0,1.0343,-0.0019094,0,1.0343,-0.43467,-1.032,-0.74132,-89.909,-0.736,0.51739,0.00032866,0.7,0.02,0
0.16687,0.0076871,0.2806,-1.0294,-0.41885,-0.71508,-0.0023848,0,0,-0.4086,0.3851,0,-0.0062005,0,0,1.0356,-0.00069232,0,1.0356,-0.41884,-1.0294,-0.71508,-89.776,-0.7211,0.52884,-0.00038946,0.72,0.02,0
0.1584,0.0073698,0.25989,-1.0254,-0.40502,-0.68901,-0.0036458,0,0,-0.4373,0.36919,0,-0.009479,0,0,1.0356,0.00054001,0,1.0356,-0.405,-1.0254,-0.68901,-89.663,-0.70648,0.53794,-0.0011644,0.74,0.02,0
0.14938,0.0070156,0.23918,-1.0202,-0.39272,-0.66306,-0.0047581,0,0,-0.46431,0.35144,0,-0.012371,0,0,1.0345,0.0018202,0,1.0345,-0.39269,-1.0203,-0.66306,-89.566,-0.692,0.54522,-0.0019715,0.76,0.02,0
0.13983,0.0066358,0.21851,-1.014,-0.38147,-0.63716,-0.0057079,0,0,-0.48993,0.33239,0,-0.014841,0,0,1.0319,0.0031717,0,1.0319,-0.38142,-1.0141,-0.63716,-89.483,-0.67755,0.55124,-0.0027911,0.78,0.02,0
0.12978,0.0062429,0.1979,-1.007,-0.37073,-0.61122,-0.0064376,0,0,-0.51452,0.31264,0,-0.016738,0,0,1.028,0.0045991,0,1.0281,-0.37067,-1.0071,-0.61122,-89.42,-0.66299,0.55659,-0.0036101,0.8,0.02,0
0.11925,0.005852,0.17739,-0.99945,-0.35987,-0.58518,-0.0068498,0,0,-0.53855,0.29291,0,-0.017809,0,0,1.0227,0.0060743,0,1.0227,-0.35979,-0.99952,-0.58518,-89.386,-0.64817,0.56202,-0.0044248,0.82,0.02,0
0.10824,0.0054805,0.15699,-0.99171,-0.34813,-0.55895,-0.0068333,0,0,-0.5626,0.27406,0,-0.017767,0,0,1.0159,0.0075209,0,1.016,-0.34806,-0.99179,-0.55895,-89.392,-0.63293,0.56842,-0.0052441,0.84,0.02,0
0.096748,0.0051475,0.13675,-0.98426,-0.33468,-0.53243,-0.0063128,0,0,-0.58738,0.25708,0,-0.016413,0,0,1.0078,0.0088023,0,1.0078,-0.33461,-0.98432,-0.53243,-89.443,-0.61712,0.57683,-0.0060916,0.86,0.02,0
0.084748,0.0048707,0.11668,-0.97754,-0.31867,-0.50555,-0.0053099,0,0,-0.6136,0.24294,0,-0.013806,0,0,0.99855,0.0097253,0,0.99861,-0.31863,-0.97758,-0.50555,-89.538,-0.60059,0.58821,-0.0070047,0.88,0.02,0
